"","Mes","Area_Numero","Area","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"1","1",1,"1_Arica",356,1470
"2","2",1,"1_Arica",114,309
"3","3",1,"1_Arica",1505,3741
"4","4",1,"1_Arica",2162,6193
"5","5",1,"1_Arica",1964,5691
"6","6",1,"1_Arica",866,3585
"7","7",1,"1_Arica",195,2343
"8","1",10,"10_Biobio",6208,12479
"9","2",10,"10_Biobio",5554,10906
"10","3",10,"10_Biobio",7368,14571
"11","4",10,"10_Biobio",17000,35480
"12","5",10,"10_Biobio",14996,38146
"13","6",10,"10_Biobio",4851,13375
"14","7",10,"10_Biobio",4158,9098
"15","1",11,"11_Araucania",151,334
"16","2",11,"11_Araucania",758,1496
"17","3",11,"11_Araucania",3736,5517
"18","4",11,"11_Araucania",654,1416
"19","5",11,"11_Araucania",2221,3599
"20","6",11,"11_Araucania",595,1368
"21","7",11,"11_Araucania",119,548
"22","1",12,"12_Los_Rios",615,935
"23","2",12,"12_Los_Rios",4020,6917
"24","3",12,"12_Los_Rios",3094,6071
"25","4",12,"12_Los_Rios",1233,2708
"26","5",12,"12_Los_Rios",2525,4596
"27","6",12,"12_Los_Rios",351,1267
"28","7",12,"12_Los_Rios",420,1320
"29","1",13,"13_Los_Lagos",488,2525
"30","2",13,"13_Los_Lagos",1611,4407
"31","3",13,"13_Los_Lagos",4292,7779
"32","4",13,"13_Los_Lagos",2001,4069
"33","5",13,"13_Los_Lagos",1733,4176
"34","6",13,"13_Los_Lagos",515,1693
"35","7",13,"13_Los_Lagos",224,1673
"36","1",14,"14_Aysen",3509,5737
"37","2",14,"14_Aysen",4231,7301
"38","3",14,"14_Aysen",5220,8228
"39","4",14,"14_Aysen",3712,5151
"40","5",14,"14_Aysen",3424,5107
"41","6",14,"14_Aysen",3295,4259
"42","7",14,"14_Aysen",3186,4983
"43","1",15,"15_Magallanes",3108,4718
"44","2",15,"15_Magallanes",3860,6282
"45","3",15,"15_Magallanes",4273,7019
"46","4",15,"15_Magallanes",4089,6519
"47","5",15,"15_Magallanes",4694,8084
"48","6",15,"15_Magallanes",2298,3862
"49","7",15,"15_Magallanes",1878,3798
"50","1",2,"2_Tarapaca",909,4603
"51","2",2,"2_Tarapaca",238,443
"52","3",2,"2_Tarapaca",1761,4794
"53","4",2,"2_Tarapaca",1862,7064
"54","5",2,"2_Tarapaca",1446,7176
"55","6",2,"2_Tarapaca",1640,7543
"56","7",2,"2_Tarapaca",1820,8337
"57","1",3,"3_Antofagasta",315,3357
"58","2",3,"3_Antofagasta",78,339
"59","3",3,"3_Antofagasta",1548,4509
"60","4",3,"3_Antofagasta",2827,5365
"61","5",3,"3_Antofagasta",4552,10450
"62","6",3,"3_Antofagasta",1959,3851
"63","7",3,"3_Antofagasta",12256,20337
"64","1",4,"4_Atacama",447,2340
"65","2",4,"4_Atacama",662,2226
"66","3",4,"4_Atacama",1581,5205
"67","4",4,"4_Atacama",2938,5838
"68","5",4,"4_Atacama",5876,9855
"69","6",4,"4_Atacama",5118,7828
"70","7",4,"4_Atacama",5237,10038
"71","1",5,"5_Coquimbo",856,2512
"72","2",5,"5_Coquimbo",1044,2297
"73","3",5,"5_Coquimbo",1915,3643
"74","4",5,"5_Coquimbo",1068,2664
"75","5",5,"5_Coquimbo",4790,7788
"76","6",5,"5_Coquimbo",12026,14756
"77","7",5,"5_Coquimbo",4467,8110
"78","1",6,"6_Valparaiso",871,1737
"79","2",6,"6_Valparaiso",1579,2380
"80","3",6,"6_Valparaiso",2557,3723
"81","4",6,"6_Valparaiso",1481,2518
"82","5",6,"6_Valparaiso",3991,6727
"83","6",6,"6_Valparaiso",6637,9190
"84","7",6,"6_Valparaiso",2366,4552
"85","1",7,"7_Ohiggins",343,540
"86","2",7,"7_Ohiggins",792,1129
"87","3",7,"7_Ohiggins",1387,1982
"88","4",7,"7_Ohiggins",469,872
"89","5",7,"7_Ohiggins",1590,2684
"90","6",7,"7_Ohiggins",498,1099
"91","7",7,"7_Ohiggins",143,577
"92","1",8,"8_Maule",1787,3408
"93","2",8,"8_Maule",2965,4950
"94","3",8,"8_Maule",2618,4648
"95","4",8,"8_Maule",2147,3749
"96","5",8,"8_Maule",4903,7921
"97","6",8,"8_Maule",768,1909
"98","7",8,"8_Maule",903,1969
"99","1",9,"9_Nuble",378,1233
"100","2",9,"9_Nuble",1033,2168
"101","3",9,"9_Nuble",1154,2536
"102","4",9,"9_Nuble",928,2846
"103","5",9,"9_Nuble",2916,5282
"104","6",9,"9_Nuble",854,2031
"105","7",9,"9_Nuble",491,1315
"106","1",16,"Todas",20335,47931
"107","2",16,"Todas",28534,53562
"108","3",16,"Todas",44008,83961
"109","4",16,"Todas",44569,92442
"110","5",16,"Todas",61607,127279
"111","6",16,"Todas",42269,77619
"112","7",16,"Todas",37864,79000
